	TGrepID	Sentence	Every	A	The	Other	Wh	ModalPresent
51	176495:4	what did you do *t*-1 when your kids were growing up *t*-2?	0.2947368421052632	0.358421052631579	0.29421052631578953	0.05263157894736843	what	0
1	165968:23	what do you, what do you looking for *t*-1 in, in those?	0.2611111111111111	0.15166666666666667	0.4144444444444445	0.17277777777777778	what	0
494	152309:4	what do you consider *t*-1 most important, you think, in terms of, of the different benefits?	0.12000000000000001	0.1477777777777778	0.6111111111111112	0.1211111111111111	what	0
562	149292:9	uh, what are the ages of your kids *t*-1 then?	0.4605263157894737	0.04157894736842107	0.31894736842105265	0.17894736842105266	what	0
356	163081:9	oh, what's that called *-2 *t*-1,	0.0015	0.038	0.958	0.0025	what	0
571	12197:4	what do you like to, *-1 to cook *t*-2?	0.3780952380952381	0.4690476190476191	0.1338095238095238	0.01904761904761906	what	0
353	171135:4	what do you think *t*-1?.	0.22149999999999997	0.2595	0.16799999999999998	0.351	what	0
83	73381:35	so, um, how do * think, how do you think 0 we've changed in the last ten to twenty years *t*-1?	0.4714285714285714	0.23380952380952383	0.15190476190476193	0.14285714285714285	how	0
622	121466:9	well, what did you have *t*-1 for lunch?	0.18368421052631578	0.06421052631578948	0.7399999999999999	0.01157894736842106	what	0
521	5736:4	when do you get out *t*-1?	0.0	0.09421052631578948	0.8531578947368421	0.05210526315789474	when	0
444	5370:44	and so it really made me question as to what, how do we know, you know, uh, if the news 0 we're getting *t*-2 is any good *t*-1.	0.07649999999999998	0.179	0.48550000000000004	0.259	how	0
233	113851:9	uh, where did you come from *t*-1?	0.01578947368421053	0.06947368421052633	0.9147368421052633	0.0	where	0
904	118143:4	why * bother *-1 working *t*-2?	0.15523809523809523	0.3161904761904762	0.3857142857142858	0.14285714285714285	why	0
615	78491:30	uh, what's the main, what's the main difference between republicans and democrats *t*-1?	0.14473684210526316	0.24578947368421053	0.5552631578947368	0.05421052631578947	what	0
454	124764:16	how, how do you use it *t*-1?.	0.1363157894736842	0.17052631578947366	0.5742105263157895	0.11894736842105265	how	0
913	166119:9	uh, what do you think *t*-1 about that?	0.28631578947368425	0.2521052631578947	0.12	0.34157894736842104	what	0
700	124965:9	well, why would that be *t*-1?	0.06	0.34047619047619054	0.5761904761904761	0.023333333333333334	why	1
172	163193:9	well, how would you go about *-2 changing it *t*-1?	0.44238095238095243	0.3704761904761905	0.11380952380952382	0.07333333333333335	how	1
659	160359:8	so what's a guy *-3 to do *t*-1? you know.. i asked myself *t*-2.	0.033157894736842115	0.14947368421052631	0.15578947368421053	0.661578947368421	what	0
398	96180:20	or, or what do you think *t*-1?	0.4152380952380953	0.18761904761904763	0.18476190476190477	0.2119047619047619	what	0
210	28071:4	what will you,	0.028947368421052628	0.1636842105263158	0.48157894736842105	0.3257894736842105	what	1
86	63953:6	so what do you think *t*-1 of the texas weather?	0.24095238095238097	0.34095238095238095	0.21666666666666665	0.20142857142857146	what	0
22	111378:4	where do you enjoy *-1 dining out *t*-2?	0.4072222222222222	0.30777777777777776	0.2733333333333333	0.011111111111111117	where	0
477	28397:4	what do you use *t*-1?	0.11894736842105265	0.09684210526315791	0.781578947368421	0.0026315789473684314	what	0
114	170362:7	now how do you mean that *t*-1?	0.08578947368421053	0.16894736842105262	0.5357894736842106	0.20947368421052628	how	0
