	TGrepID	Question	Every	A	The	Other	Wh	ModalPresent
0	93254:4	what's the best part  from your point of view?	0.15055555555555558	0.08000000000000002	0.7022222222222222	0.06722222222222224	what	0
1	165968:23	what do you, what do you looking for  in, in those?	0.2611111111111111	0.15166666666666667	0.4144444444444445	0.17277777777777778	what	0
2	174853:7	so how do you feel  about it?	0.2688888888888889	0.04944444444444445	0.45055555555555554	0.23111111111111113	how	0
3	177088:4	how can you really deal with an environment where you're going  to lose everything  	0.06666666666666667	0.3138888888888889	0.2711111111111111	0.34833333333333333	how	1
4	44160:45	or, you know, why, why, why  intervene in another country's, you know, problems  and things like that.	0.09777777777777778	0.30000000000000004	0.2872222222222222	0.315	why	0
5	106104:9	uh, what do you think 	0.12888888888888891	0.23777777777777778	0.3255555555555556	0.30777777777777776	what	0
6	15539:4	what have you seen  lately?	0.47555555555555556	0.23333333333333334	0.2827777777777778	0.0077777777777777845	what	0
7	164748:9	oh, when did it happen 	0.019444444444444448	0.008888888888888889	0.9305555555555556	0.041111111111111105	when	0
8	136984:4	what vacation have you enjoyed  the most?	0.061111111111111144	0.05055555555555556	0.741111111111111	0.14666666666666664	what	0
9	136497:4	what do you use   to keep from  sliding off that rascal?	0.1383333333333333	0.14388888888888887	0.6827777777777777	0.03500000000000002	what	0
10	108874:4	what did you say 	0.07444444444444445	0.11722222222222219	0.7744444444444445	0.03333333333333334	what	0
11	102217:4	what's your favorite restaurant 	0.07166666666666667	0.07277777777777779	0.6755555555555556	0.18000000000000002	what	0
12	31349:14	so, uh, what do you think  about it?	0.27499999999999997	0.1761111111111111	0.28555555555555556	0.2627777777777778	what	0
13	87947:4	what did you think  about dances with wolves when you saw it 	0.11	0.2038888888888889	0.4566666666666667	0.2288888888888889	what	0
14	143033:4	where have you been 	0.5955555555555555	0.18444444444444444	0.15944444444444444	0.0605555555555556	where	0
15	8878:4	what  are some of your things  you like  to do 	0.5311111111111112	0.19166666666666668	0.11833333333333333	0.1588888888888889	what	0
16	38865:5	what else have i done 	0.4233333333333334	0.2038888888888889	0.10388888888888889	0.26888888888888896	what	0
17	51235:4	why  get rid  of him now 	0.05333333333333333	0.32555555555555554	0.365	0.2561111111111111	why	0
18	76625:25	well, how did, how did you get, uh, hooked up with the t i switchboard thing 	0.13333333333333333	0.01722222222222223	0.825	0.02444444444444445	how	0
19	140833:28	so how'd you all, how do you,	0.1538888888888889	0.1127777777777778	0.3038888888888889	0.42944444444444446	how	0
20	80840:4	how do you feel about it 	0.07833333333333334	0.13777777777777778	0.5855555555555556	0.19777777777777777	how	0
21	102211:9	well, how we	0.059444444444444446	0.12277777777777778	0.10055555555555556	0.7172222222222222	how	0
22	111378:4	where do you enjoy  dining out 	0.4072222222222222	0.30777777777777776	0.2733333333333333	0.011111111111111117	where	0
23	92671:8	and, what did she do  with the,	0.13	0.020555555555555556	0.3505555555555555	0.49888888888888894	what	0
24	163206:45	what would you do  about	0.1322222222222222	0.23666666666666666	0.32222222222222224	0.30888888888888894	what	1
25	21725:6	and where do you go 	0.1922222222222222	0.22944444444444445	0.5733333333333334	0.0044444444444444444	where	0
26	103191:13	but, uh, who  knows what the future will hold  uh, as far as energy goes,	0.13999999999999999	0.05888888888888889	0.08277777777777778	0.7183333333333333	who	1
27	168933:47	what  happens if they, they get a false positive	0.31222222222222223	0.1811111111111111	0.2761111111111111	0.23055555555555557	what	0
28	105249:5	what more could you ask for 	0.09055555555555556	0.31055555555555553	0.13833333333333334	0.4605555555555555	what	1
29	51293:9	uh, who's the last one 	0.0022222222222222283	0.00055555555555555	0.9249999999999999	0.07222222222222222	who	0
30	43281:4	what should i do 	0.27894736842105267	0.3842105263157895	0.19631578947368422	0.1405263157894737	what	1
31	115384:4	what was the other thing 	0.04421052631578948	0.0736842105263158	0.7994736842105263	0.08263157894736842	what	0
32	160516:4	why can't trees break down 	0.1994736842105263	0.2921052631578947	0.49000000000000005	0.01842105263157896	why	1
33	164882:4	how do you think that, uh, the viewpoints differ 	0.46473684210526317	0.4073684210526316	0.10842105263157895	0.019473684210526317	how	0
34	150184:9	so. how's your products been 	0.09000000000000001	0.19894736842105262	0.17736842105263156	0.5336842105263159	how	0
35	78887:7	well what did you think  of reagan as a president?	0.2005263157894737	0.18157894736842103	0.2642105263157895	0.35368421052631577	what	0
36	89007:4	what are some others that you have seen  lately 	0.3157894736842105	0.48631578947368415	0.02684210526315789	0.1705263157894737	what	0
37	110091:6	and how do you spell that breed 	0.024736842105263158	0.015263157894736845	0.9331578947368421	0.026842105263157896	how	0
38	159602:4	how's he handling that 	0.16	0.23105263157894734	0.28210526315789475	0.3268421052631579	how	0
39	83839:35	when does it, wh-, when does it bloom 	0.16157894736842104	0.16842105263157894	0.6605263157894737	0.009473684210526322	when	0
40	141435:14	well, uh, how do you all communicate  like  to plan it and every thing.	0.23894736842105263	0.31	0.44052631578947365	0.010526315789473696	how	0
41	65639:28	anyway, what are your, what are your first comments on that subject 	0.31157894736842107	0.2563157894736842	0.2210526315789474	0.21105263157894735	what	0
42	61044:253	how can you tell where it's going  to come down at  	0.1636842105263158	0.28	0.22578947368421054	0.3305263157894737	how	1
43	44743:160	what do you want  to do 	0.06947368421052633	0.14578947368421052	0.3331578947368421	0.45157894736842097	what	0
44	158655:7	well what do you feel  about the, um, present situation in the mideast?	0.22894736842105262	0.29526315789473684	0.38842105263157894	0.08736842105263158	what	0
45	74464:6	so where do you live at 	0.07052631578947367	0.07473684210526317	0.8547368421052632	1.1686558153949053e-17	where	0
46	73308:4	what do i know 	0.21631578947368418	0.10473684210526314	0.08315789473684211	0.5957894736842105	what	0
47	141308:59	so, so,  to make one successful, i mean, i mean what do you all do 	0.25	0.2831578947368421	0.36894736842105263	0.09789473684210526	what	0
48	51033:9	hum, what do you think   could be done  about it?	0.24578947368421047	0.5142105263157895	0.2231578947368421	0.016842105263157894	what	1
49	123253:16	who, who did they play 	0.18263157894736842	0.09631578947368422	0.39	0.3310526315789474	who	0
50	168089:7	now where does the source light go 	0.15368421052631578	0.0636842105263158	0.7300000000000001	0.052631578947368446	where	0
51	176495:4	what did you do  when your kids were growing up 	0.2947368421052632	0.358421052631579	0.29421052631578953	0.05263157894736843	what	0
52	72840:6	and who  knows how many people,  are looking at those, uh, bills that  come in, and those statements,	0.5878947368421054	0.056842105263157895	0.03263157894736843	0.3226315789473684	who	0
53	155438:9	so, what do you and your husband do 	0.12947368421052632	0.24157894736842103	0.6147368421052631	0.01421052631578948	what	0
54	125234:4	where's it all going 	0.5321052631578947	0.059473684210526324	0.2715789473684211	0.1368421052631579	where	0
55	100712:69	and, uh, if we have children who  are not getting their education, for one reason or another, then what are we going  to do  with them?	0.23684210526315788	0.2521052631578947	0.34210526315789475	0.16894736842105262	what	0
56	73231:4	what  wrong with you?	0.1668421052631579	0.07157894736842106	0.498421052631579	0.2631578947368421	what	0
57	124241:4	what do you think   going  to happen to the rangers?	0.13157894736842107	0.4194736842105264	0.3678947368421053	0.08105263157894738	what	0
58	81430:4	why don't you tell me about yours 	0.09	0.1957894736842105	0.09999999999999999	0.6136842105263158	why	0
59	169409:4	what am i trying  to say  uh,	0.07842105263157895	0.09210526315789473	0.6063157894736841	0.2226315789473684	what	0
60	95212:6	and what do you work on  at t i?	0.16619047619047617	0.2080952380952381	0.41904761904761906	0.2066666666666667	what	0
61	118807:9	well, what do you think  of, uh, this, uh, u s free trade agreement  we're working on  with mexico?	0.10523809523809524	0.19095238095238093	0.5209523809523808	0.18285714285714286	what	0
62	167484:19	so what, why is it  that the weather in atlanta that gets very hot 	0.12523809523809523	0.1933333333333333	0.4547619047619048	0.22666666666666666	why	0
63	129525:28	now what is, uh, what is, uh, the steamed shellfish  you said  	0.04238095238095238	0.060952380952380945	0.8490476190476192	0.047619047619047616	what	0
64	119855:6	so what do you think  about the quality of news coverage in america?	0.18761904761904763	0.23238095238095238	0.259047619047619	0.320952380952381	what	0
65	11053:4	where do you live 	0.0	0.0	0.9938095238095238	0.005714285714285714	where	0
66	106474:25	uh, what i-, what is your practice  as far as budgeting?	0.23285714285714285	0.1361904761904762	0.359047619047619	0.27142857142857146	what	0
67	76222:13	and, gosh, what  going  to happen when these kids start  coming into the school system 	0.24952380952380948	0.28095238095238095	0.21428571428571427	0.25523809523809526	what	0
68	164667:7	so how do you, uh,	0.011428571428571423	0.035238095238095235	0.26095238095238094	0.6919047619047619	how	0
69	43862:24	and who  wants who  wants  to drive twenty miles  to go to the movies.	0.08285714285714287	0.34285714285714286	0.09666666666666668	0.47761904761904767	who	0
70	130294:4	what's everybody drive  up there?	0.3380952380952381	0.29523809523809524	0.2980952380952381	0.06857142857142857	what	0
71	82861:16	how, how can it work 	0.25809523809523816	0.39285714285714285	0.30238095238095236	0.04666666666666667	how	1
72	171306:4	why don't you go ahead and start 	0.08285714285714285	0.0757142857142857	0.1819047619047619	0.6595238095238095	why	0
73	50044:4	what do they,	0.047619047619047616	0.05285714285714285	0.16666666666666666	0.7328571428571429	what	0
74	124747:21	well, how, how do you use your credit card 	0.2785714285714286	0.18666666666666668	0.43952380952380954	0.09523809523809523	how	0
75	13173:9	uh, what do you think  about, uh, the idea of  having volunteer service for everyone?	0.19666666666666666	0.19142857142857145	0.2166666666666667	0.3952380952380953	what	0
76	169955:188	but if you had, if you had, uh, parents say or, or, or th-, grandparents, whatever it is  uh, who  were ready, who, who you thought   might benefit from a nursing home, what do you think  you would look for 	0.38047619047619047	0.24	0.2752380952380952	0.10428571428571429	what	1
77	123216:4	what do you think  about, uh, houston?	0.10238095238095238	0.36380952380952386	0.29238095238095235	0.24142857142857144	what	0
78	138616:4	what am i going  to fix  for supper.	0.05380952380952381	0.2619047619047619	0.6285714285714284	0.05571428571428571	what	0
79	44211:31	well, then how can you, how can you say as far as like in, uh, europe, as far as the, the toppling of those kinds of governments, you know, like,	0.10571428571428572	0.15857142857142859	0.130952380952381	0.6047619047619048	how	1
80	129042:32	but, uh, see, see what else can i say  about the weather.	0.3090476190476191	0.34428571428571425	0.05523809523809523	0.2914285714285714	what	1
81	113858:6	so where did your parents come from 	0.02952380952380953	0.027142857142857142	0.9433333333333335	0.0	where	0
82	105100:4	where is your favorite place   to go  	0.045714285714285714	0.18714285714285714	0.7223809523809523	0.04476190476190476	where	0
83	73381:35	so, um, how do  think, how do you think  we've changed in the last ten to twenty years 	0.4714285714285714	0.23380952380952383	0.15190476190476193	0.14285714285714285	how	0
84	132939:7	so what car do you drive 	0.016666666666666666	0.0880952380952381	0.895238095238095	0.0	what	0
85	129842:4	what are some of the things  they don't recycle  	0.5552380952380952	0.3723809523809524	0.056666666666666664	0.015714285714285715	what	0
86	63953:6	so what do you think  of the texas weather?	0.24095238095238097	0.34095238095238095	0.21666666666666665	0.20142857142857146	what	0
87	168893:13	so, uh, what things do you consider  an invasion of privacy?	0.6523809523809525	0.24142857142857144	0.06523809523809522	0.04095238095238095	what	0
88	98025:8	and, how does the story line go 	0.016190476190476193	0.04809523809523811	0.8647619047619047	0.07095238095238095	how	0
89	107243:9	oh, what kind do you have 	0.3814285714285715	0.21619047619047618	0.25952380952380955	0.14285714285714285	what	0
90	167503:16	what, what, are you putting  in	0.039473684210526314	0.11789473684210527	0.7794736842105263	0.06315789473684212	what	0
91	77104:20	what's, what are some other questions  they have  	0.4273684210526316	0.3042105263157895	0.06315789473684212	0.20526315789473684	what	0
92	12866:4	what's that real, oh, not real old, my wife she is old too, dancer  uh,	0.0	0.0863157894736842	0.4189473684210526	0.4947368421052632	what	0
93	66234:15	oh, well, what  there    to say 	0.19736842105263158	0.31947368421052635	0.16947368421052633	0.3136842105263158	what	0
94	147909:14	well, uh, what is your favorite kind of music 	0.0668421052631579	0.1368421052631579	0.6910526315789474	0.10526315789473684	what	0
95	122158:21	uh, what, what are some of the shows that you have been able  to rent   though?	0.6521052631578947	0.2831578947368421	0.03789473684210526	0.026842105263157896	what	0
96	39333:4	what do you use  mumblex?	0.02157894736842106	0.07526315789473687	0.5836842105263158	0.3194736842105263	what	0
97	124617:13	is that, what was yours more like 	0.0015789473684210409	0.05368421052631579	0.5789473684210527	0.36578947368421055	what	0
98	135929:4	where are you from  originally?	0.012105263157894725	0.02789473684210527	0.9305263157894736	0.028947368421052645	where	0
99	1965:4	what do you mean  by world music?	0.13947368421052633	0.21736842105263157	0.46315789473684205	0.18000000000000002	what	0
100	43249:4	where do you all live 	0.09473684210526316	0.04842105263157894	0.856842105263158	0.0	where	0
101	53731:6	but why  not hit the points  the kid's really interested in  	0.22631578947368416	0.17105263157894737	0.5499999999999999	0.05263157894736843	why	0
