	TGrepID	Question	Every	A	The	Other	Wh	ModalPresent
121	24525:28	well, how do you, how do you feel  about, uh, companies drug testing prior to  hiring?	0.14772727272727273	0.01681818181818182	0.730909090909091	0.10454545454545454	how	0
314	124701:9	well, what would  be your advice to a parent of a child thinking of  attending college?	0.175	0.406	0.2879999999999999	0.131	what	1
379	109245:9	well, where do you take those things 	0.15157894736842104	0.2094736842105263	0.6294736842105263	0.009473684210526315	where	0
6	15539:4	what have you seen  lately?	0.47555555555555556	0.23333333333333334	0.2827777777777778	0.0077777777777777845	what	0
807	148861:4	where do you buy your tole painting paints at  around here?	0.15190476190476193	0.20238095238095238	0.6423809523809523	0.0033333333333333335	where	0
337	123033:11	and, and how will you, make that actually happen 	0.1405	0.28250000000000003	0.575	0.002	how	1
324	86224:4	when were you there 	0.03150000000000001	0.14300000000000002	0.7755	0.05	when	0
298	61578:4	how are your kids handling it 	0.23190476190476195	0.30380952380952375	0.36523809523809525	0.09904761904761905	how	0
426	98545:9	and so how do you relate as to whether this particular armed robbery was a, you know, worth five years or twenty-five 	0.06799999999999999	0.21200000000000002	0.596	0.124	how	0
978	141164:7	so what do you feel   are the current trends in the way  families spend time in general, you know, in america 	0.5755	0.20750000000000002	0.11699999999999999	0.1	what	0
787	115953:33	you know, how can you, how can you justify  raising anybody's salary if you, you know, if you have  to lay people off 	0.1538095238095238	0.319047619047619	0.3238095238095238	0.2033333333333333	how	1
766	132650:4	what are we having 	0.4794736842105264	0.17052631578947366	0.28421052631578947	0.06578947368421052	what	0
371	121515:4	how does that sound 	0.034736842105263156	0.1894736842105263	0.30842105263157893	0.4673684210526316	how	0
226	11794:4	what do you think 	0.3557894736842105	0.2563157894736842	0.20052631578947366	0.18736842105263157	what	0
535	171763:102	what  hasn't come in yet	0.6547368421052632	0.15157894736842106	0.12315789473684209	0.07052631578947369	what	0
925	100218:4	what  does that house got  attraction?	0.09947368421052633	0.04631578947368422	0.24210526315789477	0.6121052631578948	what	0
193	23571:9	um, what is that called  	0.0013636363636363635	0.15818181818181817	0.8345454545454545	0.0059090909090908994	what	0
277	168933:102	what recourse do you have 	0.24523809523809526	0.25571428571428567	0.3109523809523809	0.1880952380952381	what	0
130	134609:4	what does that mean  accidental tomatoes?	0.021363636363636366	0.19954545454545453	0.6318181818181818	0.14681818181818182	what	0
158	111690:4	who  knows	0.1519047619047619	0.0519047619047619	0.016190476190476193	0.7800000000000001	who	0
339	58060:20	and, and what were we trying  to do 	0.1505	0.08549999999999999	0.579	0.185	what	0
33	164882:4	how do you think that, uh, the viewpoints differ 	0.46473684210526317	0.4073684210526316	0.10842105263157895	0.019473684210526317	how	0
15	8878:4	what  are some of your things  you like  to do 	0.5311111111111112	0.19166666666666668	0.11833333333333333	0.1588888888888889	what	0
791	167133:4	why should an individual just because it's, just because the state can't really find out about it, be able  to avoid  paying sales tax 	0.06523809523809525	0.3028571428571429	0.5185714285714286	0.11333333333333333	why	1
892	160687:44	what do you, what, what do you find  interesting	0.3638095238095238	0.38333333333333336	0.2509523809523809	0.0019047619047618998	what	0
923	84674:4	how can you even think like that 	0.007368421052631586	0.19368421052631576	0.11421052631578947	0.6847368421052632	how	1
897	11493:7	oh how does he do serious 	0.037142857142857144	0.22666666666666674	0.5442857142857144	0.19142857142857142	how	0
872	50920:4	what  was the reason why somebody was trying  to find out all that stuff 	0.1523809523809524	0.17285714285714288	0.6671428571428573	0.007619047619047624	what	0
307	174199:33	so, uh, what are your, what are your thoughts on the subject  there?	0.28700000000000003	0.289	0.19549999999999998	0.2285	what	0
223	126374:8	but, what do i know  right?.	0.07210526315789473	0.0731578947368421	0.07684210526315789	0.7778947368421052	what	0
682	130644:22	oh, g-, where  have i gone  that  anywhere.	0.45055555555555554	0.14	0.15166666666666667	0.25777777777777783	where	0
909	17790:13	and, uh, what is the other one called  	0.00421052631578948	0.06894736842105263	0.8563157894736841	0.07052631578947367	what	0
812	96432:36	so, uh, uh, how about, what in particular would you think that, uh, women still, other than the work place, where women still are being, uh, oh, you know, mumblex found  wanting, you know, or not re-, as highly  regarded  as men would be   	0.2366666666666667	0.0642857142857143	0.23238095238095238	0.4666666666666667	what	1
