	Unnamed: 0	TGrepID	Question	Every	A	The	Other	Wh	ModalPresent	PrecedingContext
0	0	93254:4	what's the best part  from your point of view?	0.1505555555555555	0.08	0.7022222222222222	0.0672222222222222	what	0	my husband would  you know,the minute  i said the word  he, he, he's chomping at the bit. [SEP]  [SEP] he kind of likes the casinos a little bit. [SEP] uh-huh. [SEP] but i like all of that. [SEP]  
1	1	165968:23	what do you, what do you looking for  in, in those?	0.2611111111111111	0.1516666666666666	0.4144444444444445	0.1727777777777777	what	0	yeah, that, that would be a good deal   to go with  [SEP] and the other thing  we're looking at  is the saturns too. [SEP] okay. [SEP] because they looked really nice. [SEP] uh-huh. 
2	2	174853:7	so how do you feel  about it?	0.2688888888888889	0.0494444444444444	0.4505555555555555	0.2311111111111111	how	0	so. [SEP] yeah. [SEP] or death before the firing squad or whatever. [SEP] yeah. [SEP] so, i think  about the only one is, uh, rape, [SEP]  
3	3	177088:4	how can you really deal with an environment where you're going  to lose everything  	0.0666666666666666	0.3138888888888889	0.2711111111111111	0.3483333333333333	how	1	 [SEP]  t-, they're only going  to suffer. they, they've defeated themselves with, with their looting and violence.uh, i understand why they were upset  by the verdict  just because even those of us that  aren't black or, uh, don't live there or whatever, we all saw the same thing on the, on the tapeand, uh, [SEP] well e-, everybody is saying  this is going  to be a new eraand we're going  to reexamine this thing.hey, the b-, the average person is going  to take a look at that and say, suspicions confirmed.they're a bunch of animals, you know. 
4	4	44160:45	or, you know, why, why, why  intervene in another country's, you know, problems  and things like that.	0.0977777777777777	0.3	0.2872222222222222	0.315	why	0	 [SEP] uh-huh. [SEP] and that their governments can become so corruptand it's like,well, you know, i use  to feel like, [SEP]  [SEP] well, they, they, should work their way, you know,they should, should be able  to work their self out of it 
5	5	106104:9	uh, what do you think 	0.1288888888888889	0.2377777777777777	0.3255555555555556	0.3077777777777777	what	0	mostly the thing was that it was available when we needed it  because he suddenly got sick and needed  to be put  in. [SEP] yeah, [SEP]  [SEP] so the convenience, [SEP]  [SEP] right. [SEP]  
6	6	15539:4	what have you seen  lately?	0.4755555555555555	0.2333333333333333	0.2827777777777778	0.0077777777777777	what	0	uh-huh. [SEP]  [SEP] uh-huh. [SEP] but it was a very good movie. [SEP] uh-huh.well, i guess  i will have  to see it then. [SEP]  
7	7	164748:9	oh, when did it happen 	0.0194444444444444	0.0088888888888888	0.9305555555555556	0.0411111111111111	when	0	 [SEP] well, that must be pretty bad.so, how did that happen  anyway? [SEP] uh, financial trouble. [SEP] no,not how,i mean, when did it, when did they mumblex, [SEP]  
8	8	136984:4	what vacation have you enjoyed  the most?	0.0611111111111111	0.0505555555555555	0.741111111111111	0.1466666666666666	what	0	yeah,yeah. [SEP] um, i think, uh,  the biggest limitation is a lot, just time and money, isn't it  [SEP] oh, yeah. [SEP]  [SEP] yeah. [SEP]  
9	9	136497:4	what do you use   to keep from  sliding off that rascal?	0.1383333333333333	0.1438888888888888	0.6827777777777777	0.035	what	0	they're just tar and gravel treated flat top roofs. [SEP] uh-huh. [SEP] have you got pretty well pitch on that roof,or is it pretty steep? [SEP] oh, it's pretty steep.uh, parts of it are steeper than others. [SEP]  
